order_id,order_date,customer_id,customer_type,channel,segment,city,product_id,product_name,category,quantity,unit_price_tnd,line_total_tnd,discount_rate,payment_method,shipping_tnd,order_total_tnd
ORD-01000,2023-11-17 19:24:00,CUST-0328,B2C,B2C Web,Silver,Sousse,KINZ-019,Lait de corps jasmin - 125ml,Body Care,1,20.000,20.000,0.05,Cash on Delivery,0.000,136.800
ORD-01000,2023-11-17 19:24:00,CUST-0328,B2C,B2C Web,Silver,Sousse,KINZ-004,Pack l'Essentiel Anti-âge - Routine Simpliste,Gift Sets,1,124.000,124.000,0.05,Cash on Delivery,0.000,136.800
ORD-01001,2023-11-17 03:15:00,CUST-0069,B2C,B2C Instagram,Silver,Mahdia,KINZ-006,Trousse Rose Clair - Signée Kinz,Accessories,1,19.900,19.900,0.10,Card (Stripe),7.000,24.910
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-018,Gel douche jasmin,Body Care,6,20.000,120.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-006,Trousse Rose Clair - Signée Kinz,Accessories,6,19.900,119.400,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-016,Huile sèche pailletée Bergamote,Vegetable Oils,6,35.000,210.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-010,Trio Fresh & Tonique - Bergamote-Verveine,Gift Sets,6,50.000,300.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-005,Trousse Blanc-cassé - Signée Kinz,Accessories,6,19.900,119.400,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-029,Vitamine C & Alpha Arbutine - 30ml,Cosmétique,6,49.000,294.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-011,Duo Fresh & Tonique - Bergamote-Verveine,Gift Sets,6,33.000,198.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-015,Lait de corps Bergamote - 125ml,Body Care,6,20.000,120.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-020,Huile sèche Jasmin,Vegetable Oils,6,35.000,210.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-002,Pack Hydratation & Anti-Tâches - L'Essentiel Éclat,Gift Sets,6,99.000,594.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-012,Duo Fruité - Framboise,Gift Sets,6,33.000,198.000,0.12,Bank Transfer,0.000,2707.584
ORD-01002,2024-12-11 20:59:00,CUST-0276,B2B,B2B Pharmacy,Gold,Mahdia,KINZ-001,Pack Jasmin + Trousse offerte,Accessories,6,99.000,594.000,0.12,Bank Transfer,0.000,2707.584
ORD-01003,2023-03-26 18:01:00,CUST-0086,B2B,B2B Spa,Gold,Nabeul,KINZ-008,Trio Floral - Jasmin,Gift Sets,12,50.000,600.000,0.10,Card (Stripe),0.000,4027.320
